Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,26018608,github-changelog-generator/github-changelog-generator,Ruby,358.0,2305.0,93.0,3370,4.422,16.139
0,64878964,fchollet/deep-learning-models,Python,2.0,45.0,2.0,223,1.0,1.6
0,669174,DataTables/DataTables,CSS,53.0,14125.0,23.0,3749,1.405,10.246
0,77071207,laravel/tinker,PHP,36.0,229.0,33.0,2391,2.331,5.359
0,12502664,forhappy/Cplusplus-Concurrency-In-Practice,C++,4.0,1398.0,4.0,409,1.258,2.933
0,35451268,jdan/tota11y,JavaScript,66.0,3055.0,21.0,2928,1.866,7.107
0,32304121,domaindrivendev/Swashbuckle.AspNetCore,C#,346.0,4480.0,169.0,2800,4.232,13.851
0,25975629,evil-icons/evil-icons,JavaScript,12.0,27605.0,11.0,2104,2.391,3.282
0,69470049,surmon-china/videojs-player,TypeScript,20.0,1787.0,12.0,716,1.389,4.538
0,31560300,daattali/beautiful-jekyll,HTML,174.0,7019.0,84.0,3246,4.578,15.206
0,85459264,ohmybash/oh-my-bash,Shell,159.0,3960.0,105.0,2496,6.722,13.569
0,52897468,kazzkiq/balloon.css,CSS,30.0,1186.0,24.0,1718,2.148,8.078
0,19173633,PeterDing/iScript,Python,5.0,1142.0,5.0,1199,1.28,2.319
0,136332816,tychxn/jd-assistant,Python,4.0,6998.0,3.0,609,1.308,2.011
0,379916997,micro-zoe/micro-app,CSS,10.0,8858.0,30.0,502,2.128,3.047
0,4975026,AliSoftware/OHHTTPStubs,Objective-C,94.0,1996.0,57.0,4202,2.758,7.491
0,138615634,iorate/ublacklist,TypeScript,94.0,16738.0,39.0,2035,1.971,14.77
0,13344397,lervag/vimtex,TeX,284.0,11331.0,157.0,3771,7.626,4.472
0,215689781,yangzongzhuan/RuoYi,HTML,1.0,11707.0,82.0,349,2.316,0.8
0,190082368,Jinxiansen/SwiftUI,Swift,12.0,20800.0,7.0,1463,1.548,2.679
0,178738556,teslamate-org/teslamate,Elixir,644.0,30634.0,161.0,1774,3.907,16.585
0,47010479,karpathy/arxiv-sanity-preserver,Python,24.0,984.0,18.0,1065,1.736,4.793
0,15813955,vigetlabs/blendid,JavaScript,107.0,2897.0,60.0,2165,2.522,4.501
0,108454049,tkipf/pygcn,Python,5.0,225.0,6.0,487,1.527,3.006
0,11010098,epochjs/epoch,HTML,64.0,2131.0,17.0,991,1.446,5.352
0,153775955,rrousselGit/provider,Dart,156.0,1242.0,85.0,1915,4.678,10.384
0,72867492,anders94/blockchain-demo,Pug,41.0,478.0,18.0,2280,1.755,6.086
0,73864802,danielgerlag/workflow-core,C#,194.0,2058.0,58.0,2548,3.493,21.157
0,24700171,vuejs/vue-loader,TypeScript,341.0,6336.0,24.0,3303,2.043,18.782
0,233568787,markmap/markmap,TypeScript,8.0,1167.0,9.0,1448,1.19,2.603
0,217603326,hagopj13/node-express-boilerplate,JavaScript,39.0,1620.0,16.0,1386,1.785,5.461
0,76425236,EduardoPires/EquinoxProject,C#,15.0,1664.0,10.0,1924,1.297,3.187
0,20387062,horsicq/Detect-It-Easy,JavaScript,58.0,11106.0,35.0,3514,2.262,6.584
0,812610,guard/guard,Ruby,338.0,4014.0,150.0,4528,4.106,14.378
0,9906653,ankane/chartkick,Ruby,28.0,2029.0,24.0,3393,1.571,4.007
0,42115933,sshahine/JFoenix,Java,117.0,28243.0,61.0,2196,3.447,6.291
0,12550138,PyCQA/isort,Python,39.0,24659.0,258.0,2597,4.568,11.437
0,22424133,muaz-khan/RecordRTC,JavaScript,62.0,6824.0,38.0,2413,1.55,5.799
0,47475908,sindresorhus/execa,JavaScript,206.0,997.0,53.0,1824,2.25,17.145
0,237914956,SuLingGG/OpenWrt-Rpi,Shell,1.0,1626.0,4.0,135,1.221,0.8
0,20839462,imba/imba,JavaScript,130.0,29201.0,31.0,3503,1.361,7.2
