Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,alyssaxuu/flowy,JavaScript,5,432,5,123,1.21,1.19,1.151,1.001,1.001,1.001
0,react-dropzone/react-dropzone,JavaScript,308,4484,166,2937,5.782,5.42,4.405,9.398,7.636,9.94
0,akveo/react-native-ui-kitten,TypeScript,327,480643,57,2364,4.932,4.733,4.276,6.58,5.352,5.607
0,hackjutsu/Lepton,JavaScript,91,42687,32,2363,3.311,3.108,2.751,2.811,2.338,2.923
0,Nozbe/WatermelonDB,JavaScript,551,29274,111,1838,7.861,7.22,5.327,8.921,7.467,6.333
0,fantasyland/fantasy-land,JavaScript,120,575,53,3910,2.389,2.424,2.685,5.016,4.62,5.026
0,mertJF/tailblocks,JavaScript,8,26393,7,374,1.861,1.79,1.598,1.106,1.127,1.133
0,shipshapecode/tether,JavaScript,1121,10625,60,3820,4.775,4.534,4.144,10.018,7.977,12.016
0,rematch/rematch,TypeScript,305,24030,93,1024,4.796,4.477,3.637,5.337,4.658,5.594
0,urql-graphql/urql,TypeScript,389,23460,221,887,5.229,4.931,4.309,8.167,7.046,8.258
0,adrai/flowchart.js,JavaScript,39,2677,33,3796,1.872,1.797,1.718,3.248,2.901,2.861
0,any86/any-rule,TypeScript,21,3654,22,1269,2.576,2.43,1.963,3.255,3.145,3.143
0,swisskyrepo/PayloadsAllTheThings,Python,506,21379,259,2719,4.746,4.414,4.006,5.611,5.865,6.166
0,sockjs/sockjs-client,JavaScript,70,3748,54,3146,6.438,6.006,5.129,1.316,1.272,1.299
0,OlafenwaMoses/ImageAI,Python,33,63613,16,1917,2.083,1.989,1.625,2.031,1.991,1.981
0,pahen/madge,JavaScript,89,1249,53,4174,3.453,3.234,2.218,2.889,2.469,3.088
0,coder/code-server,TypeScript,376,53022,223,734,3.203,3.184,3.246,3.373,3.029,2.336
